matchup,subject,knowledge_level,own,confidence,meta,actual
MEM @ BOS,11,3,1,0.7,0.75,1
MEM @ BOS,12,3,1,0.8,0.8,1
MEM @ BOS,13,3,0,0.6,0.6,1
MEM @ BOS,14,1,1,0.65,0.45,1
MEM @ BOS,15,3,1,1,1,1
MEM @ BOS,16,1,1,0.6,0.7,1
MEM @ BOS,17,3,1,0.7,0.7,1
MEM @ BOS,18,4,1,1,0.95,1
MEM @ BOS,19,3,1,0.8,0.68,1
MEM @ BOS,20,4,1,0.85,0.75,1
MEM @ BOS,21,3,1,0.85,0.8,1
MEM @ BOS,22,1,1,0.65,0.45,1
MEM @ BOS,23,3,1,0.9,0.9,1
MEM @ BOS,24,3,1,1,0.5,1
MEM @ BOS,25,5,1,0.7,0.69,1
